Competition,Type of race,Sex,HOST NATION,Country,DAY,MONTH,YEAR,TIME,Latitude,Longitude,NOAA Station ID,Station Location,Distance from location (km),Air Temperature (C),Dew Point (C),Wind Speed (m/s),Adjusted wind speed,Relative Humidity (%),Clouds (OKTA),Diff from requested Time (minutes),Time zone,Solar Radiation accounting for clouds (tilt surface)(W/m},Heat Index (National Oceanic and Atmospheric Administration; Last modified 2014) - [°C],Simplified Wet Bulb Globe Temperature (American College of Sports Medicine; 1984) - [°C],Wet Bulb Globe Temperature (outdoor) (Yaglou; 1956) - [°C],World Record,Standing record,Finished time (1st),Finished time (2nd),Finished time (3rd),Finished time (4th),Finished time (5th),Finished time (6th),Finished time (7th),Finished time (8th),Finished time (9th),Finished time (10th),time_avgTop3
World Championships,5k,Men,OSAKA,JAPAN,2,9,2007,19:30:00,34.6198813,135.490357,47772099999,JA; OSAKA,7.5,25.4,21.5,1.5,0.6,79.1,7,30,9,0,26.1,28.4,23.2,00:12:37,00:12:53,00:13:46,00:13:46,00:13:47,00:13:47,00:13:47,00:13:48,00:13:51,00:13:51,00:13:51,00:13:53,00:13:46
World Championships,5k,Women,OSAKA,JAPAN,1,9,2007,20:30:00,34.6198813,135.490357,47772099999,JA; OSAKA,7.5,25.9,21.6,0.5,0.2,77.2,6,30,9,0,26.6,28.8,23.4,00:14:17,00:14:39,00:14:58,00:14:59,00:14:59,00:14:59,00:15:01,00:15:03,00:15:04,00:15:05,00:15:07,00:15:10,00:14:59
Olympic,5k,Men,beijing,CHINA,23,8,2008,20:10:00,39.906217,116.391275,54511099999,CH; BEIJING CAPITAL INTERNATIONAL AIRPORT,25.4,24.0,14.0,4.0,1.7,53.6,2,10,8,0,23.9,23.8,19.2,00:12:37,00:13:06,00:12:58,00:13:03,00:13:06,00:13:11,00:13:16,00:13:19,00:13:20,00:13:23,00:13:27,00:13:28,00:13:02
Olympic,5k,Women,beijing,CHINA,22,8,2008,20:40:00,39.906217,116.391275,54511099999,CH; BEIJING CAPITAL INTERNATIONAL AIRPORT,25.4,19.0,18.0,3.0,1.2,93.9,8,10,8,0,19.4,22.8,18.2,00:14:11,00:14:41,00:15:41,00:15:44,00:15:45,00:15:46,00:15:47,00:15:48,00:15:49,00:15:49,00:15:51,00:15:52,00:15:43
World Championships,5k,Men,BERLIN,GERMANY,23,8,2009,16:25:00,52.5170365,13.3888599,10384099999,GM; TEMPELHOF,5.0,24.0,4.0,2.5,1.0,27.3,0,,2,630,23.2,20.8,20.4,00:12:37,00:12:53,00:13:17,00:13:17,00:13:18,00:13:18,00:13:19,00:13:19,00:13:20,00:13:20,00:13:21,00:13:22,00:13:17
World Championships,5k,Women,BERLIN,GERMANY,22,8,2009,19:35:00,52.5170365,13.3888599,10384099999,GM; TEMPELHOF,5.0,21.0,8.0,1.1,0.5,43.2,0,,2,181,20.3,20.1,17,00:14:11,00:14:39,00:14:58,00:14:58,00:14:58,00:15:03,00:15:04,00:15:06,00:15:10,00:15:11,00:15:12,00:15:12,00:14:58
Diamond League,5k,Women,brussels,belgium,27,8,2010,21:38:00,50.8436709,4.36743669,6447099999,BE; UCCLE,5.0,13.9,9.7,3.0,1.2,75.8,6,38,2,0,13.3,16.6,11.8,00:14:11,00:14:27,00:14:34,00:14:35,00:14:35,00:14:39,00:14:40,00:14:40,00:14:43,00:14:44,00:14:45,00:14:54,00:14:35
Common Wealth,5k,Men,Delhi,India,6,10,2010,16:00:00,28.6517178,77.2219388,42182099999,IN; SAFDARJUNG,7.6,28.8,22.3,0.0,0.0,68.0,5,60,5.5,328,32,30.9,30,,,,,,,,,,,,,#DIV/0!
Common Wealth,5k,Women,Delhi, India,12,10,2010,16:00:00,28.6517178,77.2219388,42182099999,IN; SAFDARJUNG,7.6,27.0,20.0,0.0,0.0,65.6,4,60,5.5,0,28.5,28.4,23.3,00:14:11,00:14:31,00:15:55,00:15:56,00:16:02,00:16:04,00:16:12,00:16:16,00:16:26,00:16:56,00:17:15,,00:15:58
Diamond League,5k,Men,EUGENE,US,3,7,2010,14:02:00,44.0505054,-123.09505,72693024221,OR US; EUGENE MAHLON SWEET FIELD,13.2,11.7,10.0,0.0,0.0,89.3,9,8,-7,0,11.3,15.4,9.7,00:12:37,00:12:51,00:12:59,00:12:59,00:13:00,00:13:01,00:13:05,00:13:07,00:13:08,00:13:10,00:13:11,00:13:12,00:12:59
Diamond League,5k,Women,LONDON,UK,13,8,2010,20:27:00,51.5073219,-0.1276474,3779099999,UK; LONDON WEA CENTER,1.1,16.0,12.0,2.6,1.1,77.2,6,,1,0,15.7,18.5,13.9,00:14:11,00:14:27,00:14:36,00:14:38,00:14:39,00:14:42,00:14:42,00:14:47,00:14:53,00:14:54,00:14:58,00:15:05,00:14:38
Diamond League,5k,Men,OSLO,NORWAY,4,6,2010,21:20:00,59.9133301,10.7389701,1492099999,NO; OSLO BLINDERN,4.3,15.1,3.6,1.0,0.4,46.1,2,20,2,130,13.9,15.6,11.8,00:12:37,00:12:51,00:12:54,00:12:54,00:12:54,00:12:55,00:12:56,00:12:57,00:12:57,00:12:58,00:12:59,00:12:59,00:12:54
Diamond League,5k,Women,PARIS,FRANCE,16,7,2010,20:48:00,48.8566969,2.3514616,7156099999,FR; PARIS MONTSOURIS,4.6,18.7,11.0,3.1,1.3,60.9,3,12,2,226,18.2,19.7,16.6,00:14:11,00:14:31,00:14:27,00:14:28,00:14:32,00:14:33,00:14:37,00:14:39,00:14:51,00:14:52,00:14:53,00:14:55,00:14:29
Diamond League,5k,Men,ROME,ITALY,10,6,2010,21:40:00,41.8933203,12.4829321,16235099999,IT; URBE,6.7,22.1,13.7,0.5,0.2,59.0,3,40,2,0,21.9,22.6,17.9,00:12:37,00:12:51,00:13:00,00:13:00,00:13:00,00:13:01,00:13:01,00:13:03,00:13:05,00:13:05,00:13:08,00:13:08,00:13:00
World Cup,5k,Men,SPLIT,CROATIA,4,9,2010,18:05:00,43.5116383,16.4399659,14445099999,HR; SPLIT MARJAN,0.8,23.2,12.4,0.0,0.0,50.7,2,5,2,362,22.9,22.8,23.9,00:12:37,00:13:14,00:13:58,00:13:58,00:13:59,00:13:59,00:14:01,00:14:01,00:14:01,00:14:05,00:14:20,,00:13:58
World Cup,5k,Women,SPLIT,CROATIA,5,9,2010,19:30:00,43.5116383,16.4399659,14445099999,HR; SPLIT MARJAN,0.8,22.7,12.6,1.0,0.4,52.9,2,30,2,76,22.4,22.5,18.6,00:14:11,00:14:39,00:16:06,00:16:07,00:16:09,00:16:10,00:16:13,00:16:15,00:16:18,00:16:30,,,00:16:07
Diamond League,5k,Men,stockholm,SWEDEN,6,8,2010,21:38:00,59.3251172,18.0710935,2484099999,SW; STOCKHOLM OBSERVATORIET,2.8,17.0,13.0,1.9,0.8,77.3,6,38,2,0,16.8,19.5,14.8,00:12:37,00:12:51,00:12:53,00:12:54,00:12:54,00:12:54,00:12:56,00:12:58,00:13:00,00:13:05,00:13:06,00:13:06,00:12:54
Diamond League,5k,Men,ZURICH,switzerland,19,8,2010,21:30:00,47.3744489,8.5410422,6660099999,SZ; ZUERICH FLUNTERN,2.2,16.7,14.5,0.5,0.2,86.9,8,30,2,0,16.7,19.9,15,00:12:37,00:12:51,00:12:55,00:12:56,00:12:56,00:12:58,00:12:58,00:12:59,00:13:02,00:13:04,00:13:05,00:13:06,00:12:56
Diamond League,5k,Men,birmingham,UK,10,7,2011,19:32:00,52.4796992,-1.9026911,3534099999,UK; BIRMINGHAM,10.9,16.0,12.0,1.0,0.4,77.2,6,12,1,0,15.7,18.5,13.7,00:12:37,00:12:51,00:13:06,00:13:07,00:13:08,00:13:09,00:13:10,00:13:12,00:13:12,00:13:16,00:13:17,00:13:18,00:13:07
Diamond League,5k,Men,brussels,belgium,16,9,2011,21:38:00,50.8436709,4.36743669,6447099999,BE; UCCLE,5.0,16.7,12.7,3.0,1.2,77.3,6,22,2,0,16.4,19.2,14.6,00:12:37,00:12:51,00:12:58,00:12:59,00:13:00,00:13:02,00:13:04,00:13:04,00:13:06,00:13:19,00:13:34,DNF,00:12:59
World Championships,5k,Women,DAEGU,KOREA,4,9,2011,19:40:00,35.8713,128.6018,47143099999,KS; TAEGU ACC KOR AFB,1.9,20.3,17.6,1.0,0.4,84.5,8,80,9,0,20.6,23.4,18.6,,,,,,,,,,,,,#DIV/0!
World Championships,5k,Men,DAEGU ,KOREA,4,9,2011,19:40:00,35.8713,128.6018,47143099999,KS; TAEGU ACC KOR AFB,1.9,20.3,17.6,1.0,0.4,84.5,8,80,9,0,20.6,23.4,18.6,00:12:37,00:12:53,00:13:23,00:13:24,00:13:24,00:13:25,00:13:26,00:13:27,00:13:27,00:13:28,00:13:29,00:13:29,00:13:24
Diamond League,5k,Women,EUGENE,US,3,6,2011,20:25:00,44.0505054,-123.09505,72693024221,OR US; EUGENE MAHLON SWEET FIELD,13.2,21.1,10.6,6.7,2.8,51.1,5,29,-7,429,20.6,20.9,18.3,00:14:11,00:14:27,00:14:34,00:14:35,00:14:37,00:14:40,00:14:48,00:14:50,00:15:00,00:15:00,00:15:11,00:15:15,00:14:35
Diamond League,5k,Men,lausanne,switzerland,30,6,2011,21:42:00,46.5218269,6.6327025,6711099999,SZ; PULLY,2.7,16.1,8.0,3.1,1.3,58.7,3,18,2,37,15.3,17.3,12.8,00:12:37,00:12:51,00:12:59,00:12:59,00:13:00,00:13:04,00:13:06,00:13:07,00:13:11,00:13:18,00:13:20,00:13:21,00:12:59
Diamond League,5k,Women,LONDON,UK,6,8,2011,15:45:00,51.5073219,-0.1276474,3770099999,UK; ST JAMES PARK,1.1,19.0,9.0,4.2,1.7,52.3,2,15,1,49,18.3,19.2,14.9,00:14:11,00:14:21,00:15:01,00:15:07,00:15:07,00:15:09,00:15:10,00:15:12,00:15:17,00:15:20,00:15:28,00:15:50,00:15:05
Diamond League,5k,Women,OSLO,NORWAY,9,6,2011,21:10:00,59.9133301,10.7389701,1492099999,NO; OSLO BLINDERN,4.3,16.6,15.6,2.0,0.8,93.8,8,10,2,40,16.8,20.3,16.1,00:14:11,00:14:27,00:14:37,00:14:37,00:14:38,00:14:39,00:14:43,00:14:43,00:14:46,00:14:49,00:14:54,00:15:12,00:14:37
Diamond League,5k,Women,PARIS,FRANCE,8,7,2011,20:58:00,48.8566969,2.3514616,7156099999,FR; PARIS MONTSOURIS,4.6,20.3,9.2,3.1,1.3,48.9,2,2,2,213,19.7,20,16.8,00:14:11,00:14:27,00:14:30,00:14:32,00:14:35,00:14:45,00:14:47,00:14:56,00:14:58,00:14:58,00:14:58,00:15:15,00:14:32
Diamond League,5k,Men,ROME,ITALY,26,5,2011,21:25:00,41.8933203,12.4829321,16235099999,IT; URBE,6.7,20.0,17.0,0.0,0.0,82.9,7,95,2,0,20.2,22.9,17.9,00:12:37,00:12:51,00:12:54,00:12:55,00:12:55,00:12:56,00:12:58,00:13:00,00:13:00,00:13:00,00:13:07,00:13:09,00:12:55
Diamond League,5k,Women,SHANGHAI,CHINA,15,5,2011,21:27:00,31.2252985,121.489049,58367099999,CH; HONGQIAO INTERNATIONAL,14.8,19.0,15.0,1.0,0.4,77.6,6,3,8,0,19,21.4,16.7,00:14:11,00:14:27,00:14:32,00:14:33,00:14:33,00:14:35,00:14:37,00:14:41,00:14:41,00:14:46,00:14:51,00:15:03,00:14:33
Diamond League,5k,Women,stockholm,SWEDEN,29,7,2011,21:25:00,59.3251172,18.0710935,2484099999,SW; STOCKHOLM OBSERVATORIET,2.8,21.0,15.0,5.6,2.3,68.6,5,25,2,20,20.9,22.6,18.1,00:14:11,00:14:27,00:14:21,00:14:44,00:14:45,00:14:47,00:14:52,00:14:53,00:14:59,00:15:02,00:15:05,00:15:14,00:14:37
Diamond League,5k,Women,ZURICH,switzerland,8,9,2011,20:15:00,47.3744489,8.5410422,6660099999,SZ; ZUERICH FLUNTERN,2.2,16.4,10.9,0.5,0.2,70.0,5,15,2,21,15.9,18.4,13.7,00:14:11,00:14:21,00:14:30,00:14:30,00:14:35,00:14:35,00:14:45,00:14:46,00:14:55,00:15:04,00:15:17,00:15:21,00:14:32
Diamond League,5k,Women,brussels,belgium,7,9,2012,21:37:00,50.8436709,4.36743669,6447099999,BE; UCCLE,5.0,14.5,9.7,1.0,0.4,72.9,6,23,2,191,13.9,16.9,14,00:14:11,00:14:21,00:14:46,00:14:47,00:14:48,00:14:52,00:14:53,00:14:53,00:14:56,00:14:58,00:15:01,00:15:01,00:14:47
Diamond League,5k,Men,LONDON,UK,13,7,2012,20:09:00,51.5073219,-0.1276474,3770099999,UK; ST JAMES PARK,1.1,17.0,12.0,4.2,1.7,72.4,6,9,1,0,16.6,19.1,14.6,00:12:37,00:12:51,00:13:06,00:13:10,00:13:10,00:13:14,00:13:16,00:13:23,00:13:24,00:13:35,00:13:37,00:13:43,00:13:09
Olympic,5k,Men,LONDON,UK,11,8,2012,19:30:00,51.5073219,-0.1276474,3770099999,UK; ST JAMES PARK,1.1,18.9,12.4,6.7,2.8,66.0,4,30,0,0,18.6,20.3,15.9,,,,,,,,,,,,,#DIV/0!
Olympic,5k,Women,LONDON,UK,10,8,2012,20:05:00,51.5073219,-0.1276474,3770099999,UK; ST JAMES PARK,1.1,22.0,14.0,3.1,1.3,60.5,3,5,1,0,21.8,22.7,18.1,00:14:11,00:14:41,00:15:04,00:15:05,00:15:05,00:15:06,00:15:11,00:15:12,00:15:13,00:15:15,00:15:18,00:15:19,00:15:05
Diamond League,5k,Men,OSLO,NORWAY,7,6,2012,20:45:00,59.9133301,10.7389701,1492099999,NO; OSLO BLINDERN,4.3,13.2,4.1,1.0,0.4,54.0,3,15,2,207,12,14.6,11.6,00:12:37,00:12:51,00:12:59,00:12:59,00:13:00,00:13:00,00:13:01,00:13:01,00:13:01,00:13:03,00:13:08,00:13:08,00:12:59
Diamond League,5k,Men,PARIS,FRANCE,6,7,2012,20:58:00,48.8566969,2.3514616,7156099999,FR; PARIS MONTSOURIS,4.6,15.6,13.3,2.6,1.1,86.2,8,2,2,54,15.5,18.8,14.6,00:12:37,00:12:51,00:12:47,00:12:48,00:12:49,00:12:49,00:12:49,00:12:49,00:12:54,00:12:55,00:12:56,00:12:56,00:12:48
Diamond League,5k,Women,ROME,ITALY,31,5,2012,21:15:00,41.8933203,12.4829321,16235099999,IT; URBE,6.7,19.0,15.0,1.5,0.6,77.6,6,85,2,3,19,21.4,16.8,00:14:11,00:14:21,00:14:36,00:14:36,00:14:40,00:14:41,00:14:45,00:14:47,00:14:48,00:14:58,00:15:07,00:15:10,00:14:37
Diamond League,5k,Men,SHANGHAI,CHINA,19,5,2012,21:29:00,31.2252985,121.489049,58367099999,CH; HONGQIAO INTERNATIONAL,14.8,16.0,14.0,3.0,1.2,87.9,8,1,8,0,16,19.3,14.8,00:12:37,00:12:51,00:13:11,00:13:12,00:13:13,00:13:13,00:13:14,00:13:14,00:13:16,00:13:16,00:13:17,00:13:17,00:13:12
Diamond League,5k,Men,ZURICH,switzerland,30,8,2012,21:30:00,47.3744489,8.5410422,6660099999,SZ; ZUERICH FLUNTERN,2.2,12.9,12.1,1.5,0.6,94.9,8,30,2,114,12.7,16.8,13.1,00:12:37,00:12:47,00:12:59,00:12:59,00:13:00,00:13:01,00:13:02,00:13:03,00:13:04,00:13:07,00:13:09,00:13:10,00:12:59
Diamond League,5k,Men,birmingham,UK,30,6,2013,16:38:00,52.4796992,-1.9026911,3534099999,UK; BIRMINGHAM,10.9,20.0,11.0,6.7,2.8,56.2,3,12,1,11,19.5,20.4,16,00:12:37,00:12:47,00:13:14,00:13:15,00:13:17,00:13:20,00:13:21,00:13:23,00:13:24,00:13:30,00:13:30,00:13:30,00:13:15
Diamond League,5k,Men,brussels,belgium,6,9,2013,21:30:00,50.8436709,4.36743669,6447099999,BE; UCCLE,5.0,17.9,15.2,3.0,1.2,84.2,8,30,2,0,17.9,20.9,16.4,00:12:37,00:12:47,00:12:59,00:12:59,00:12:59,00:13:01,00:13:01,00:13:02,00:13:02,00:13:02,00:13:04,00:13:06,00:12:59
Diamond League,5k,Women,EUGENE,US,1,6,2013,12:38:00,44.0505054,-123.09505,72693024221,OR US; EUGENE MAHLON SWEET FIELD,13.2,7.0,6.0,0.0,0.0,93.4,9,5,-7,0,6.2,11.6,5,00:14:11,00:14:21,00:14:42,00:14:43,00:14:44,00:14:51,00:14:53,00:14:57,00:15:02,00:15:03,00:15:10,00:15:17,00:14:43
Diamond League,5k,Men,lausanne,switzerland,4,7,2013,20:50:00,46.5218269,6.6327025,6711099999,SZ; PULLY,2.7,17.8,12.3,1.5,0.6,70.2,5,10,2,152,17.5,19.7,16.3,00:12:37,00:12:47,00:13:07,00:13:07,00:13:08,00:13:12,00:13:12,00:13:14,00:13:15,00:13:17,00:13:17,00:13:28,00:13:07
World Championships,5k,Men,Moscow,RUSSIA,16,8,2013,20:45:00,55.7504461,37.6174943,27612099999,RS; MOSKVA VDNH DOLGOPRUDNYJ,9.2,12.4,11.8,0.0,0.0,96.1,8,15,3,42,12.2,16.4,11.7,00:12:37,00:12:53,00:13:27,00:13:27,00:13:27,00:13:28,00:13:29,00:13:29,00:13:30,00:13:30,00:13:31,00:13:33,00:13:27
World Championships,5k,Women,Moscow,RUSSIA,17,8,2013,18:55:00,55.7504461,37.6174943,27612099999,RS; MOSKVA VDNH DOLGOPRUDNYJ,9.2,14.7,11.5,0.0,0.0,81.2,7,55,3,34,14.3,17.6,12.9,00:14:11,00:14:39,00:14:50,00:14:51,00:14:51,00:15:02,00:15:05,00:15:06,00:15:06,00:15:15,00:15:25,00:15:30,00:14:51
Diamond League,5k,Women,OSLO,NORWAY,13,6,2013,20:25:00,59.9133301,10.7389701,1492099999,NO; OSLO BLINDERN,4.3,13.8,12.5,3.0,1.2,91.9,8,25,2,66,13.6,17.5,13.3,00:14:11,00:14:21,00:14:27,00:14:33,00:14:38,00:14:40,00:14:42,00:14:50,00:14:50,00:14:58,00:15:02,00:15:03,00:14:33
Diamond League,5k,Women,PARIS,FRANCE,6,7,2013,20:27:00,48.8566969,2.3514616,7156099999,FR; PARIS MONTSOURIS,4.6,24.0,15.0,3.6,1.5,57.2,3,27,2,297,23.9,24.3,21.3,00:14:11,00:14:21,00:14:24,00:14:26,00:14:42,00:15:00,00:15:01,00:15:11,00:15:12,00:15:12,00:15:12,00:15:15,00:14:31
Diamond League,5k,Men,ROME,ITALY,6,6,2013,20:50:00,41.8933203,12.4829321,16235099999,IT; URBE,6.7,18.0,11.0,0.0,0.0,63.6,4,60,2,58,17.5,19.3,15.3,00:12:37,00:12:47,00:12:55,00:12:56,00:12:59,00:13:02,00:13:03,00:13:04,00:13:09,00:13:10,00:13:13,00:13:18,00:12:57
Diamond League,5k,Women,SHANGHAI,CHINA,18,5,2013,21:25:00,31.2252985,121.489049,58367099999,CH; HONGQIAO INTERNATIONAL,14.8,18.0,16.0,4.0,1.7,88.1,8,5,8,0,18.2,21.3,16.8,00:14:11,00:14:21,00:14:46,00:14:48,00:14:48,00:14:50,00:14:50,00:14:50,00:14:51,00:14:59,00:15:03,00:15:03,00:14:47
Diamond League,5k,Women,ZURICH,switzerland,29,8,2013,20:13:00,47.3744489,8.5410422,6660099999,SZ; ZUERICH FLUNTERN,2.2,14.7,11.2,1.0,0.4,79.6,7,13,2,44,14.3,17.5,13.1,00:14:11,00:14:21,00:14:33,00:14:35,00:14:40,00:14:47,00:14:47,00:14:53,00:14:56,00:14:56,00:14:56,00:14:58,00:14:36
Diamond League,5k,Men,EUGENE,US,31,5,2014,14:20:00,44.0505054,-123.09505,72693024221,OR US; EUGENE MAHLON SWEET FIELD,13.2,8.3,7.2,0.0,0.0,92.8,9,26,-7,0,7.6,12.6,6.3,00:12:37,00:12:47,00:13:02,00:13:03,00:13:05,00:13:06,00:13:08,00:13:11,00:13:13,00:13:14,00:13:16,00:13:20,00:13:03
Common Wealth,5k,Men,Glasgow, Scotland,27,7,2014,16:00:00,55.8609825,-4.2488787,3140099999,UK; GLASGOW,11.6,16.0,14.0,5.1,2.1,87.9,8,10,1,10,16,19.3,14.9,00:12:37,00:12:56,00:13:12,00:13:14,00:13:17,00:13:17,00:13:19,00:13:22,00:13:24,00:13:28,00:13:30,00:13:34,00:13:14
Common Wealth,5k,Women,Glasgow, Scotland,2,8,2014,16:00:00,55.8609825,-4.2488787,3140099999,UK; GLASGOW,11.6,16.0,15.0,7.2,3.0,93.8,8,10,1,6,16.1,19.7,15.4,00:14:11,00:14:31,00:15:07,00:15:09,00:15:09,00:15:10,00:15:15,00:15:34,00:15:40,00:15:40,00:15:44,00:15:45,00:15:08
Diamond League,5k,Men,LONDON,UK,11,7,2014,19:58:00,51.5073219,-0.1276474,3770099999,UK; ST JAMES PARK,1.1,19.0,16.0,6.0,2.5,81.2,7,2,1,0,19.1,21.7,17.3,00:12:37,00:12:47,00:13:11,00:13:12,00:13:14,00:13:14,00:13:15,00:13:15,00:13:19,00:13:19,00:13:26,00:13:26,00:13:12
World Cup,5k,Men,MARRAKECH,MOROCCO,13,9,2014,19:30:00,31.6258257,-7.9891608,60230099999,MO; MENARA,4.9,31.0,14.0,5.7,2.4,35.6,0,0,1,0,30.3,27.8,23,00:12:37,00:13:14,00:13:27,00:13:29,00:13:31,00:13:37,00:13:42,00:13:44,00:14:51,DNF,,,00:13:29
World Cup,5k,Women,MARRAKECH,MOROCCO,14,9,2014,20:00:00,31.6258257,-7.9891608,60230099999,MO; MENARA,4.9,29.0,15.0,5.1,2.1,42.6,1,0,1,0,28.8,27.1,22.3,00:14:11,00:14:39,00:15:33,00:15:58,00:15:59,00:16:00,00:16:03,00:16:19,00:16:38,00:17:06,,,00:15:50
Diamond League,5k,Men,OSLO,NORWAY,11,6,2014,20:58:00,59.9133301,10.7389701,1492099999,NO; OSLO BLINDERN,4.3,18.2,5.1,4.0,1.7,42.1,1,2,2,189,17.2,17.7,14,00:12:37,00:12:47,00:13:02,00:13:02,00:13:03,00:13:05,00:13:08,00:13:08,00:13:10,00:13:13,00:13:14,00:13:19,00:13:02
Diamond League,5k,Men,PARIS,FRANCE,5,7,2014,20:50:00,48.8566969,2.3514616,7156099999,FR; PARIS MONTSOURIS,4.6,20.6,14.5,3.6,1.5,68.1,5,10,2,204,20.5,22.1,18.8,00:12:37,00:12:47,00:13:00,00:13:00,00:13:01,00:13:01,00:13:02,00:13:04,00:13:08,00:13:09,00:13:10,00:13:12,00:13:00
Diamond League,5k,Women,ROME,ITALY,5,6,2014,20:45:00,41.8933203,12.4829321,16235099999,IT; URBE,6.7,19.0,13.0,1.0,0.4,68.2,5,55,2,64,18.7,20.6,16.6,00:14:11,00:14:21,00:14:35,00:14:37,00:14:40,00:14:43,00:14:53,00:14:53,00:14:56,00:15:00,00:15:02,00:15:05,00:14:37
Diamond League,5k,Men,SHANGHAI,CHINA,18,5,2014,21:26:00,31.2252985,121.489049,58367099999,CH; HONGQIAO INTERNATIONAL,14.8,18.0,16.0,2.0,0.8,88.1,8,4,8,0,18.2,21.3,16.7,00:12:37,00:12:47,00:13:05,00:13:05,00:13:07,00:13:08,00:13:09,00:13:09,00:13:10,00:13:11,00:13:12,00:13:13,00:13:06
Diamond League,5k,Men,stockholm,SWEDEN,21,8,2014,20:15:00,59.3251172,18.0710935,2484099999,SW; STOCKHOLM OBSERVATORIET,2.8,15.0,9.0,4.2,1.7,67.4,8,15,2,13,14.3,17,12.3,00:12:37,00:12:47,00:12:55,00:12:56,00:12:59,00:13:06,00:13:08,00:13:08,00:13:12,00:13:13,00:13:25,00:13:26,00:12:57
Diamond League,5k,Men,ZURICH,switzerland,28,8,2014,21:24:00,47.3744489,8.5410422,6660099999,SZ; ZUERICH FLUNTERN,2.2,17.4,14.3,0.0,0.0,82.0,7,24,2,0,17.3,20.2,15.1,00:12:37,00:12:47,00:13:07,00:13:07,00:13:08,00:13:09,00:13:09,00:13:10,00:13:11,00:13:11,00:13:13,00:13:17,00:13:07
World Championships,5k,Men,BEIJING ,CHINA,29,8,2015,19:30:00,39.906217,116.391275,54511099999,CH; BEIJING CAPITAL INTERNATIONAL AIRPORT,25.4,21.0,17.0,2.0,0.8,77.9,6,0,8,0,21.2,23.5,18.8,00:12:37,00:12:53,00:13:50,00:13:52,00:13:52,00:13:52,00:13:54,00:13:54,00:13:55,00:13:56,00:13:57,00:13:59,00:13:51
World Championships,5k,Women,BEIJING ,CHINA,30,8,2015,19:15:00,39.906217,116.391275,54511099999,CH; BEIJING CAPITAL INTERNATIONAL AIRPORT,25.4,22.0,19.0,2.0,0.8,83.1,7,15,8,0,22.4,25.1,20.3,00:14:11,00:14:39,00:14:27,00:14:44,00:14:44,00:14:46,00:15:01,00:15:03,00:15:03,00:15:08,00:15:08,00:15:10,00:14:38
Diamond League,5k,Men,birmingham,UK,7,6,2015,15:45:00,52.4796992,-1.9026911,3534099999,UK; BIRMINGHAM,10.9,17.0,1.0,6.2,2.6,34.0,0,5,1,104,15.6,16.2,11.7,00:12:37,00:12:47,00:13:07,00:13:11,00:13:20,00:13:21,00:13:21,00:13:25,00:13:36,00:13:41,00:13:49,00:14:09,00:13:13
Diamond League,5k,Men,brussels,belgium,11,9,2015,21:41:00,50.8436709,4.36743669,6447099999,BE; UCCLE,5.0,14.0,9.0,1.7,0.7,71.9,5,,2,0,13.3,16.4,11.5,00:12:37,00:12:47,00:12:54,00:12:55,00:12:59,00:13:00,00:13:05,00:13:06,00:13:06,00:13:06,00:13:08,00:13:08,00:12:56
Diamond League,5k,Women,EUGENE,US,30,5,2015,14:12:00,44.0505054,-123.09505,72693024221,OR US; EUGENE MAHLON SWEET FIELD,13.2,12.8,8.9,3.1,1.3,77.2,5,12,-7,0,12.2,15.7,10.8,00:14:11,00:14:14,00:14:20,00:14:32,00:14:47,00:14:48,00:14:49,00:14:53,00:15:01,00:15:19,00:15:23,00:15:47,00:14:33
Diamond League,5k,Men,lausanne,switzerland,9,7,2015,21:01:00,46.5218269,6.6327025,6711099999,SZ; PULLY,2.7,18.9,7.2,3.6,1.5,46.6,2,1,2,141,18.1,18.7,14.8,00:12:37,00:12:47,00:13:12,00:13:13,00:13:17,00:13:18,00:13:19,00:13:21,00:13:22,00:13:23,00:13:25,00:13:25,00:13:14
Diamond League,5k,Women,LONDON,UK,25,7,2015,15:15:00,51.5073219,-0.1276474,3770099999,UK; ST JAMES PARK,1.1,20.1,8.6,0.0,0.0,47.6,2,15,1,169,19.4,19.7,17.8,00:14:11,00:14:14,00:14:55,00:14:57,00:15:11,00:15:20,00:15:21,00:15:27,00:15:28,00:15:28,00:15:29,00:15:30,00:15:01
Diamond League,5k,Women,OSLO,NORWAY,11,6,2015,21:10:00,59.9133301,10.7389701,1492099999,NO; OSLO BLINDERN,4.3,14.4,1.7,4.0,1.7,42.2,1,10,2,164,13,14.8,10.6,00:14:11,00:14:14,00:14:21,00:14:39,00:14:40,00:14:42,00:15:04,00:15:07,00:15:15,00:15:16,00:15:20,00:15:21,00:14:33
Diamond League,5k,Women,PARIS,FRANCE,4,7,2015,21:32:00,48.8566969,2.3514616,7156099999,FR; PARIS MONTSOURIS,4.6,28.0,17.0,1.9,0.8,51.3,2,,2,121,28.6,27.4,23.4,00:14:11,00:14:14,00:14:15,00:14:22,00:14:34,00:14:34,00:14:36,00:14:40,00:14:45,00:14:45,00:15:05,00:15:08,00:14:24
Diamond League,5k,Men,ROME,ITALY,4,6,2015,20:48:00,41.8933203,12.4829321,16235099999,IT; URBE,6.7,24.0,13.0,1.1,0.5,50.2,1,,2,65,23.8,23.4,19.4,00:12:37,00:12:47,00:12:58,00:12:59,00:12:59,00:12:59,00:13:00,00:13:00,00:13:00,00:13:00,00:13:06,00:13:07,00:12:59
